So.,1955-10-09 00:00:00,Unnamed: 2,Unnamed: 3,3,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,12,13,Unnamed: 15,Unnamed: 16,16,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,23,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,41,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52
So.,1956-06-17,,,,,5.0,,,,,,,,,,,,,,19.0,,,,,,25.0,,,,,,,,,,,,,38.0,,,41.0,,,,,46.0,,,,,
So.,1956-06-24,,,,,,,,,,,,,,14.0,,16.0,,18.0,,,,,,,,,,,,,,32.0,,,,,37.0,,,,,,43.0,,,,,,,,
So.,1956-07-01,,,,,5.0,,,,,,,,13.0,,,,,,,,21.0,,,,25.0,,,,,,,,,,35.0,,,,,,,,,44.0,,,,,,,
So.,1956-07-08,,,3.0,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,42.0,43.0,,,,47.0,48.0,,,
So.,1956-07-15,,,,,,,,,,,,12.0,,,,,17.0,,19.0,,,,23,,,,,,,,,,,34.0,,,,,,,,,,,,,,48.0,,,
So.,1956-07-22,,,,,5.0,,,8.0,,10.0,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,38.0,,,,,,,,,,48.0,,,
So.,1956-07-29,,,,,,,,,9.0,10.0,,,,,,,17.0,,,,,,23,,,,27.0,,,,,,,,35.0,,,,,,,,,,,,,,,,
So.,1956-08-05,,,,,,,,,9.0,,,,,,,,,,,,,,23,,25.0,,,,,,31.0,,,,,,,,,40.0,,,,,,46.0,,,,,
So.,1956-08-12,,,,4.0,,,,,,10.0,11.0,,,,,,,,,,,,,,,26.0,,,,,31.0,,,,,,,,,,,,,,,,47.0,,,,
So.,1956-08-19,,,,,5.0,6.0,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,33.0,34.0,,,,,,40.0,,,,,,,,,,,
So.,1956-08-26,,,3.0,,,,,,,,11.0,,,,,16.0,,,,,,,,,25.0,,,,29.0,,,,,,,36.0,,,,,,,,,,,,,,,
So.,1956-09-02,,,,,,,,,,,,,,14.0,,,,,,,,,,,,26.0,,,,,31.0,,,,,,,,,40.0,,,,,,,,48.0,49.0,,
So.,1956-09-09,,,,,,,,,,,,,,,15.0,,,,,,,22.0,,,,,27.0,28.0,,,,,,,,,,,,,,42.0,,,,,47.0,,,,
So.,1956-09-16,,,,4.0,,,,8.0,,,,,,,,,17.0,18.0,,,,,23,,,,,,,,,,,,,,,,,,,42.0,,,,,,,,,
So.,1956-09-23,,,,,5.0,6.0,,,9.0,,,,,,,,,,,,21.0,22.0,,,,,,,,,31.0,,,,,,,,,,,,,,,,,,,,
